departamento,clase_prestador,naturaleza,a_o,cantidad_de_prestadores
Sucre,Profesional Independiente,Privada,2019,432
Sucre,Profesional Independiente,Privada,2020,439
Sucre,Transporte Especial de Pacientes,Privada,2017,9
Sucre,Transporte Especial de Pacientes,Privada,2018,7
Sucre,Transporte Especial de Pacientes,Privada,2019,6
Sucre,Transporte Especial de Pacientes,Privada,2020,6
Tolima,Instituciones - IPS,Mixta,2017,2
Tolima,Instituciones - IPS,Mixta,2018,2
Tolima,Instituciones - IPS,Mixta,2019,1
Tolima,Instituciones - IPS,Mixta,2020,1
Tolima,Instituciones - IPS,Privada,2017,291
Tolima,Instituciones - IPS,Privada,2018,300
Tolima,Instituciones - IPS,Privada,2019,310
Tolima,Instituciones - IPS,Privada,2020,321
Tolima,Instituciones - IPS,Pública,2017,52
Tolima,Instituciones - IPS,Pública,2018,51
Tolima,Instituciones - IPS,Pública,2019,51
Tolima,Instituciones - IPS,Pública,2020,51
Tolima,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2017,48
Tolima,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2018,45
Tolima,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2019,45
Tolima,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2020,47
Tolima,Objeto Social Diferente a la Prestación de Servicios de Salud,Pública,2017,4
Tolima,Objeto Social Diferente a la Prestación de Servicios de Salud,Pública,2018,5
Tolima,Objeto Social Diferente a la Prestación de Servicios de Salud,Pública,2019,6
Tolima,Objeto Social Diferente a la Prestación de Servicios de Salud,Pública,2020,6
Tolima,Profesional Independiente,Privada,2017,662
Tolima,Profesional Independiente,Privada,2018,771
Tolima,Profesional Independiente,Privada,2019,792
Tolima,Profesional Independiente,Privada,2020,840
Tolima,Transporte Especial de Pacientes,Privada,2017,10
Tolima,Transporte Especial de Pacientes,Privada,2018,12
Tolima,Transporte Especial de Pacientes,Privada,2019,11
Tolima,Transporte Especial de Pacientes,Privada,2020,12
Valle del cauca,Instituciones - IPS,Mixta,2017,1
Valle del cauca,Instituciones - IPS,Mixta,2018,1
Valle del cauca,Instituciones - IPS,Mixta,2019,1
Valle del cauca,Instituciones - IPS,Mixta,2020,1
Valle del cauca,Instituciones - IPS,Privada,2017,886
Valle del cauca,Instituciones - IPS,Privada,2018,864
Valle del cauca,Instituciones - IPS,Privada,2019,859
Valle del cauca,Instituciones - IPS,Privada,2020,860
Valle del cauca,Instituciones - IPS,Pública,2017,55
Valle del cauca,Instituciones - IPS,Pública,2018,54
Valle del cauca,Instituciones - IPS,Pública,2019,54
Valle del cauca,Instituciones - IPS,Pública,2020,54
Valle del cauca,Objeto Social Diferente a la Prestación de Servicios de Salud,Mixta,2017,2
Valle del cauca,Objeto Social Diferente a la Prestación de Servicios de Salud,Mixta,2018,2
Valle del cauca,Objeto Social Diferente a la Prestación de Servicios de Salud,Mixta,2019,1
Valle del cauca,Objeto Social Diferente a la Prestación de Servicios de Salud,Mixta,2020,1
Valle del cauca,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2017,187
Cundinamarca,Profesional Independiente,Privada,2022,2330
Valle del cauca,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2018,172
Valle del cauca,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2019,169
Valle del cauca,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2020,175
Valle del cauca,Objeto Social Diferente a la Prestación de Servicios de Salud,Pública,2017,5
Valle del cauca,Objeto Social Diferente a la Prestación de Servicios de Salud,Pública,2018,5
Valle del cauca,Objeto Social Diferente a la Prestación de Servicios de Salud,Pública,2019,6
Valle del cauca,Objeto Social Diferente a la Prestación de Servicios de Salud,Pública,2020,6
Valle del cauca,Profesional Independiente,Privada,2017,3905
Valle del cauca,Profesional Independiente,Privada,2018,4174
Valle del cauca,Profesional Independiente,Privada,2019,4348
Valle del cauca,Profesional Independiente,Privada,2020,4536
Valle del cauca,Transporte Especial de Pacientes,Privada,2017,77
Valle del cauca,Transporte Especial de Pacientes,Privada,2018,83
Valle del cauca,Transporte Especial de Pacientes,Privada,2019,82
Valle del cauca,Transporte Especial de Pacientes,Privada,2020,88
Valle del cauca,Transporte Especial de Pacientes,Pública,2017,1
Valle del cauca,Transporte Especial de Pacientes,Pública,2018,1
Valle del cauca,Transporte Especial de Pacientes,Pública,2019,1
Valle del cauca,Transporte Especial de Pacientes,Pública,2020,1
Vaupés,Instituciones - IPS,Privada,2017,1
Vaupés,Instituciones - IPS,Privada,2018,1
Vaupés,Instituciones - IPS,Privada,2019,1
Vaupés,Instituciones - IPS,Privada,2020,1
Vaupés,Instituciones - IPS,Pública,2017,1
Vaupés,Instituciones - IPS,Pública,2018,1
Vaupés,Instituciones - IPS,Pública,2019,2
Vaupés,Instituciones - IPS,Pública,2020,2
Vaupés,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2017,1
Vaupés,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2018,2
Vaupés,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2019,2
Vaupés,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2020,1
Vaupés,Profesional Independiente,Privada,2017,4
Vaupés,Profesional Independiente,Privada,2018,4
Vaupés,Profesional Independiente,Privada,2019,1
Vaupés,Profesional Independiente,Privada,2020,1
Vaupés,Transporte Especial de Pacientes,Privada,2019,1
Vaupés,Transporte Especial de Pacientes,Privada,2020,1
Vichada,Instituciones - IPS,Privada,2017,7
Vichada,Instituciones - IPS,Privada,2018,8
Vichada,Instituciones - IPS,Privada,2019,7
Vichada,Instituciones - IPS,Privada,2020,8
Vichada,Instituciones - IPS,Pública,2017,3
Vichada,Instituciones - IPS,Pública,2018,2
Vichada,Instituciones - IPS,Pública,2019,2
Vichada,Instituciones - IPS,Pública,2020,2
Vichada,Profesional Independiente,Privada,2017,12
Vichada,Profesional Independiente,Privada,2018,11
Vichada,Profesional Independiente,Privada,2019,12
Vichada,Profesional Independiente,Privada,2020,14
Amazonas,Instituciones Prestadoras de Servicios de Salud - IPS,Privada,2022,14
Amazonas,Instituciones Prestadoras de Servicios de Salud - IPS,Pública,2022,2
Amazonas,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2022,2
Amazonas,Objeto Social Diferente a la Prestación de Servicios de Salud,Pública,2022,1
Amazonas,Profesional Independiente,Privada,2022,55
Antioquia,Instituciones Prestadoras de Servicios de Salud - IPS,Mixta,2022,4
Antioquia,Instituciones Prestadoras de Servicios de Salud - IPS,Privada,2022,878
Antioquia,Instituciones Prestadoras de Servicios de Salud - IPS,Pública,2022,125
Antioquia,Objeto Social Diferente a la Prestación de Servicios de Salud,Mixta,2022,3
Antioquia,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2022,396
Antioquia,Objeto Social Diferente a la Prestación de Servicios de Salud,Pública,2022,10
Antioquia,Profesional Independiente,Privada,2022,10731
Antioquia,Transporte Especial de Pacientes,Privada,2022,36
Arauca,Instituciones Prestadoras de Servicios de Salud - IPS,Mixta,2022,1
Arauca,Instituciones Prestadoras de Servicios de Salud - IPS,Privada,2022,52
Arauca,Instituciones Prestadoras de Servicios de Salud - IPS,Pública,2022,5
Arauca,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2022,7
Arauca,Objeto Social Diferente a la Prestación de Servicios de Salud,Pública,2022,1
Arauca,Profesional Independiente,Privada,2022,155
Arauca,Transporte Especial de Pacientes,Privada,2022,2
Atlántico,Instituciones Prestadoras de Servicios de Salud - IPS,Mixta,2022,1
Atlántico,Instituciones Prestadoras de Servicios de Salud - IPS,Privada,2022,254
Atlántico,Instituciones Prestadoras de Servicios de Salud - IPS,Pública,2022,24
Atlántico,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2022,10
Atlántico,Objeto Social Diferente a la Prestación de Servicios de Salud,Pública,2022,1
Atlántico,Profesional Independiente,Privada,2022,408
Atlántico,Transporte Especial de Pacientes,Privada,2022,9
Atlántico,Transporte Especial de Pacientes,Pública,2022,1
Barranquilla,Instituciones Prestadoras de Servicios de Salud - IPS,Mixta,2022,1
Barranquilla,Instituciones Prestadoras de Servicios de Salud - IPS,Privada,2022,567
Barranquilla,Instituciones Prestadoras de Servicios de Salud - IPS,Pública,2022,1
Barranquilla,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2022,23
Barranquilla,Objeto Social Diferente a la Prestación de Servicios de Salud,Pública,2022,2
Barranquilla,Profesional Independiente,Privada,2022,1464
Barranquilla,Transporte Especial de Pacientes,Privada,2022,10
Barranquilla,Transporte Especial de Pacientes,Pública,2022,1
Bogotá D.C,Instituciones Prestadoras de Servicios de Salud - IPS,Mixta,2022,1
Bogotá D.C,Instituciones Prestadoras de Servicios de Salud - IPS,Privada,2022,1640
Bogotá D.C,Instituciones Prestadoras de Servicios de Salud - IPS,Pública,2022,9
Bogotá D.C,Objeto Social Diferente a la Prestación de Servicios de Salud,Mixta,2022,3
Bogotá D.C,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2022,282
Bogotá D.C,Objeto Social Diferente a la Prestación de Servicios de Salud,Pública,2022,18
Bogotá D.C,Profesional Independiente,Privada,2022,14061
Bogotá D.C,Transporte Especial de Pacientes,Privada,2022,31
Bolívar,Instituciones Prestadoras de Servicios de Salud - IPS,Privada,2022,141
Bolívar,Instituciones Prestadoras de Servicios de Salud - IPS,Pública,2022,40
Bolívar,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2022,14
Bolívar,Profesional Independiente,Privada,2022,256
Bolívar,Transporte Especial de Pacientes,Privada,2022,4
Boyacá,Instituciones Prestadoras de Servicios de Salud - IPS,Privada,2022,267
Boyacá,Instituciones Prestadoras de Servicios de Salud - IPS,Pública,2022,105
Boyacá,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2022,49
Boyacá,Objeto Social Diferente a la Prestación de Servicios de Salud,Pública,2022,2
Boyacá,Profesional Independiente,Privada,2022,1329
Boyacá,Transporte Especial de Pacientes,Privada,2022,7
Buenaventura,Instituciones Prestadoras de Servicios de Salud - IPS,Privada,2022,67
Buenaventura,Instituciones Prestadoras de Servicios de Salud - IPS,Pública,2022,2
Buenaventura,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2022,12
Buenaventura,Objeto Social Diferente a la Prestación de Servicios de Salud,Pública,2022,2
Buenaventura,Profesional Independiente,Privada,2022,109
Buenaventura,Transporte Especial de Pacientes,Privada,2022,4
Caldas,Instituciones Prestadoras de Servicios de Salud - IPS,Mixta,2022,1
Caldas,Instituciones Prestadoras de Servicios de Salud - IPS,Privada,2022,202
Caldas,Instituciones Prestadoras de Servicios de Salud - IPS,Pública,2022,31
Caldas,Objeto Social Diferente a la Prestación de Servicios de Salud,Mixta,2022,1
Caldas,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2022,29
Caldas,Objeto Social Diferente a la Prestación de Servicios de Salud,Pública,2022,5
Caldas,Profesional Independiente,Privada,2022,1325
Caldas,Transporte Especial de Pacientes,Privada,2022,14
Cali,Instituciones Prestadoras de Servicios de Salud - IPS,Mixta,2022,1
Cali,Instituciones Prestadoras de Servicios de Salud - IPS,Privada,2022,605
Cali,Instituciones Prestadoras de Servicios de Salud - IPS,Pública,2022,11
Cali,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2022,95
Cali,Objeto Social Diferente a la Prestación de Servicios de Salud,Pública,2022,2
Cali,Profesional Independiente,Privada,2022,3658
Cali,Transporte Especial de Pacientes,Privada,2022,55
Caquetá,Instituciones Prestadoras de Servicios de Salud - IPS,Privada,2022,64
Caquetá,Instituciones Prestadoras de Servicios de Salud - IPS,Pública,2022,6
Caquetá,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2022,7
Caquetá,Objeto Social Diferente a la Prestación de Servicios de Salud,Pública,2022,2
Caquetá,Profesional Independiente,Privada,2022,163
Caquetá,Transporte Especial de Pacientes,Privada,2022,8
Cartagena,Instituciones Prestadoras de Servicios de Salud - IPS,Privada,2022,414
Cartagena,Instituciones Prestadoras de Servicios de Salud - IPS,Pública,2022,3
Cartagena,Objeto Social Diferente a la Prestación de Servicios de Salud,Mixta,2022,2
Cartagena,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2022,36
Cartagena,Objeto Social Diferente a la Prestación de Servicios de Salud,Pública,2022,5
Cartagena,Profesional Independiente,Privada,2022,1005
Cartagena,Transporte Especial de Pacientes,Privada,2022,10
Casanare,Instituciones Prestadoras de Servicios de Salud - IPS,Mixta,2022,1
Casanare,Instituciones Prestadoras de Servicios de Salud - IPS,Privada,2022,129
Casanare,Instituciones Prestadoras de Servicios de Salud - IPS,Pública,2022,6
Casanare,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2022,11
Casanare,Objeto Social Diferente a la Prestación de Servicios de Salud,Pública,2022,2
Casanare,Profesional Independiente,Privada,2022,326
Casanare,Transporte Especial de Pacientes,Mixta,2022,1
Casanare,Transporte Especial de Pacientes,Privada,2022,15
Cauca,Instituciones Prestadoras de Servicios de Salud - IPS,Privada,2022,241
Cauca,Instituciones Prestadoras de Servicios de Salud - IPS,Pública,2022,29
Cauca,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2022,42
Cauca,Objeto Social Diferente a la Prestación de Servicios de Salud,Pública,2022,3
Cauca,Profesional Independiente,Privada,2022,700
Cauca,Transporte Especial de Pacientes,Privada,2022,20
Cauca,Transporte Especial de Pacientes,Pública,2022,1
Cesar,Instituciones Prestadoras de Servicios de Salud - IPS,Privada,2022,394
Cesar,Instituciones Prestadoras de Servicios de Salud - IPS,Pública,2022,28
Cesar,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2022,35
Cesar,Objeto Social Diferente a la Prestación de Servicios de Salud,Pública,2022,2
Cesar,Profesional Independiente,Privada,2022,570
Cesar,Transporte Especial de Pacientes,Privada,2022,15
Cesar,Transporte Especial de Pacientes,Pública,2022,1
Chocó,Instituciones Prestadoras de Servicios de Salud - IPS,Mixta,2022,2
Chocó,Instituciones Prestadoras de Servicios de Salud - IPS,Privada,2022,160
Chocó,Instituciones Prestadoras de Servicios de Salud - IPS,Pública,2022,6
Chocó,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2022,52
Chocó,Objeto Social Diferente a la Prestación de Servicios de Salud,Pública,2022,2
Chocó,Profesional Independiente,Privada,2022,93
Chocó,Transporte Especial de Pacientes,Privada,2022,2
Córdoba,Instituciones Prestadoras de Servicios de Salud - IPS,Privada,2022,439
Córdoba,Instituciones Prestadoras de Servicios de Salud - IPS,Pública,2022,32
Córdoba,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2022,26
Córdoba,Objeto Social Diferente a la Prestación de Servicios de Salud,Pública,2022,2
Córdoba,Profesional Independiente,Privada,2022,602
Córdoba,Transporte Especial de Pacientes,Privada,2022,4
Cundinamarca,Instituciones Prestadoras de Servicios de Salud - IPS,Privada,2022,415
Cundinamarca,Instituciones Prestadoras de Servicios de Salud - IPS,Pública,2022,53
Cundinamarca,Objeto Social Diferente a la Prestación de Servicios de Salud,Mixta,2022,3
Cundinamarca,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2022,116
Cundinamarca,Objeto Social Diferente a la Prestación de Servicios de Salud,Pública,2022,2
Cundinamarca,Transporte Especial de Pacientes,Privada,2022,17
Guainía,Instituciones Prestadoras de Servicios de Salud - IPS,Privada,2022,7
Guainía,Profesional Independiente,Privada,2022,4
Guaviare,Instituciones Prestadoras de Servicios de Salud - IPS,Privada,2022,16
Guaviare,Instituciones Prestadoras de Servicios de Salud - IPS,Pública,2022,2
Guaviare,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2022,3
Guaviare,Profesional Independiente,Privada,2022,44
Guaviare,Transporte Especial de Pacientes,Privada,2022,1
Huila,Instituciones Prestadoras de Servicios de Salud - IPS,Privada,2022,206
Huila,Instituciones Prestadoras de Servicios de Salud - IPS,Pública,2022,41
Huila,Objeto Social Diferente a la Prestación de Servicios de Salud,Mixta,2022,2
Huila,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2022,29
Huila,Profesional Independiente,Privada,2022,923
Huila,Transporte Especial de Pacientes,Privada,2022,21
Huila,Transporte Especial de Pacientes,Pública,2022,1
La Guajira,Instituciones Prestadoras de Servicios de Salud - IPS,Privada,2022,173
La Guajira,Instituciones Prestadoras de Servicios de Salud - IPS,Pública,2022,44
La Guajira,Objeto Social Diferente a la Prestación de Servicios de Salud,Mixta,2022,1
La Guajira,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2022,18
La Guajira,Objeto Social Diferente a la Prestación de Servicios de Salud,Pública,2022,2
La Guajira,Profesional Independiente,Privada,2022,226
La Guajira,Transporte Especial de Pacientes,Privada,2022,10
Magdalena,Instituciones Prestadoras de Servicios de Salud - IPS,Privada,2022,124
Magdalena,Instituciones Prestadoras de Servicios de Salud - IPS,Pública,2022,33
Magdalena,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2022,10
Magdalena,Profesional Independiente,Privada,2022,109
Magdalena,Transporte Especial de Pacientes,Privada,2022,3
Meta,Instituciones Prestadoras de Servicios de Salud - IPS,Privada,2022,287
Meta,Instituciones Prestadoras de Servicios de Salud - IPS,Pública,2022,15
Meta,Objeto Social Diferente a la Prestación de Servicios de Salud,Mixta,2022,1
Meta,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2022,37
Meta,Objeto Social Diferente a la Prestación de Servicios de Salud,Pública,2022,2
Meta,Profesional Independiente,Privada,2022,680
Meta,Transporte Especial de Pacientes,Privada,2022,10
Meta,Transporte Especial de Pacientes,Pública,2022,1
Nariño,Instituciones Prestadoras de Servicios de Salud - IPS,Mixta,2022,3
Nariño,Instituciones Prestadoras de Servicios de Salud - IPS,Privada,2022,278
Nariño,Instituciones Prestadoras de Servicios de Salud - IPS,Pública,2022,81
Nariño,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2022,45
Nariño,Objeto Social Diferente a la Prestación de Servicios de Salud,Pública,2022,4
Nariño,Profesional Independiente,Privada,2022,1455
Nariño,Transporte Especial de Pacientes,Privada,2022,11
Norte de Santander,Instituciones Prestadoras de Servicios de Salud - IPS,Privada,2022,288
Norte de Santander,Instituciones Prestadoras de Servicios de Salud - IPS,Pública,2022,16
Norte de Santander,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2022,38
Norte de Santander,Objeto Social Diferente a la Prestación de Servicios de Salud,Pública,2022,4
Norte de Santander,Profesional Independiente,Privada,2022,1368
Norte de Santander,Transporte Especial de Pacientes,Privada,2022,8
Putumayo,Instituciones Prestadoras de Servicios de Salud - IPS,Privada,2022,63
Putumayo,Instituciones Prestadoras de Servicios de Salud - IPS,Pública,2022,10
Putumayo,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2022,13
Putumayo,Profesional Independiente,Privada,2022,174
Putumayo,Transporte Especial de Pacientes,Privada,2022,9
Quindío,Instituciones Prestadoras de Servicios de Salud - IPS,Privada,2022,166
Quindío,Instituciones Prestadoras de Servicios de Salud - IPS,Pública,2022,14
Quindío,Objeto Social Diferente a la Prestación de Servicios de Salud,Mixta,2022,1
Quindío,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2022,27
Quindío,Objeto Social Diferente a la Prestación de Servicios de Salud,Pública,2022,3
Quindío,Profesional Independiente,Privada,2022,762
Quindío,Transporte Especial de Pacientes,Privada,2022,12
Quindío,Transporte Especial de Pacientes,Pública,2022,1
Risaralda,Instituciones Prestadoras de Servicios de Salud - IPS,Privada,2022,227
Risaralda,Instituciones Prestadoras de Servicios de Salud - IPS,Pública,2022,16
Risaralda,Objeto Social Diferente a la Prestación de Servicios de Salud,Mixta,2022,1
Risaralda,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2022,39
Risaralda,Objeto Social Diferente a la Prestación de Servicios de Salud,Pública,2022,3
Risaralda,Profesional Independiente,Privada,2022,1310
Risaralda,Transporte Especial de Pacientes,Privada,2022,8
San Andrés y Providencia,Instituciones Prestadoras de Servicios de Salud - IPS,Privada,2022,20
San Andrés y Providencia,Instituciones Prestadoras de Servicios de Salud - IPS,Pública,2022,1
San Andrés y Providencia,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2022,3
San Andrés y Providencia,Objeto Social Diferente a la Prestación de Servicios de Salud,Pública,2022,2
San Andrés y Providencia,Profesional Independiente,Privada,2022,76
Santa Marta,Instituciones Prestadoras de Servicios de Salud - IPS,Privada,2022,271
Santa Marta,Instituciones Prestadoras de Servicios de Salud - IPS,Pública,2022,4
Santa Marta,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2022,20
Santa Marta,Objeto Social Diferente a la Prestación de Servicios de Salud,Pública,2022,3
Santa Marta,Profesional Independiente,Privada,2022,443
Santa Marta,Transporte Especial de Pacientes,Privada,2022,7
Santander,Instituciones Prestadoras de Servicios de Salud - IPS,Privada,2022,627
Santander,Instituciones Prestadoras de Servicios de Salud - IPS,Pública,2022,83
Santander,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2022,115
Santander,Objeto Social Diferente a la Prestación de Servicios de Salud,Pública,2022,4
Santander,Profesional Independiente,Privada,2022,1861
Santander,Transporte Especial de Pacientes,Privada,2022,17
Sucre,Instituciones Prestadoras de Servicios de Salud - IPS,Mixta,2022,1
Sucre,Instituciones Prestadoras de Servicios de Salud - IPS,Privada,2022,309
Sucre,Instituciones Prestadoras de Servicios de Salud - IPS,Pública,2022,29
Sucre,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2022,32
Sucre,Objeto Social Diferente a la Prestación de Servicios de Salud,Pública,2022,5
Sucre,Profesional Independiente,Privada,2022,485
Sucre,Transporte Especial de Pacientes,Privada,2022,8
Tolima,Instituciones Prestadoras de Servicios de Salud - IPS,Mixta,2022,1
Tolima,Instituciones Prestadoras de Servicios de Salud - IPS,Privada,2022,336
Tolima,Instituciones Prestadoras de Servicios de Salud - IPS,Pública,2022,51
Tolima,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2022,47
Tolima,Objeto Social Diferente a la Prestación de Servicios de Salud,Pública,2022,6
Tolima,Profesional Independiente,Privada,2022,981
Tolima,Transporte Especial de Pacientes,Privada,2022,14
Valle del cauca,Instituciones Prestadoras de Servicios de Salud - IPS,Privada,2022,289
Valle del cauca,Instituciones Prestadoras de Servicios de Salud - IPS,Pública,2022,41
Valle del cauca,Objeto Social Diferente a la Prestación de Servicios de Salud,Mixta,2022,1
Valle del cauca,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2022,85
Valle del cauca,Objeto Social Diferente a la Prestación de Servicios de Salud,Pública,2022,3
Valle del cauca,Profesional Independiente,Privada,2022,1562
Valle del cauca,Transporte Especial de Pacientes,Privada,2022,32
Valle del cauca,Transporte Especial de Pacientes,Pública,2022,1
Vaupés,Instituciones Prestadoras de Servicios de Salud - IPS,Privada,2022,1
Vaupés,Instituciones Prestadoras de Servicios de Salud - IPS,Pública,2022,2
Vaupés,Objeto Social Diferente a la Prestación de Servicios de Salud,Privada,2022,2
Vaupés,Profesional Independiente,Privada,2022,2
Vaupés,Transporte Especial de Pacientes,Privada,2022,2
Vichada,Instituciones Prestadoras de Servicios de Salud - IPS,Privada,2022,8
Vichada,Instituciones Prestadoras de Servicios de Salud - IPS,Pública,2022,1
Vichada,Profesional Independiente,Privada,2022,24
